Requests,concurrent_user,throughput(tokens/second),latency(ms),TTFT(ms),latency_per_token(ms/token),Total Throughput
1,10,108.9787,2787.0439,722.9013,9.2125,1089.787
2,110,60.69917273,4080.919982,193.7826727,16.5326,6676.909
3,210,51.18195238,4841.919724,264.2838667,19.55209524,10748.21
4,310,30.13359355,8665.5288,734.686729,33.1982,9341.414
5,410,28.59113171,8768.557337,489.9043902,35.00326585,11722.364
6,510,24.32072549,9951.069524,287.6706314,41.22069608,12403.57
7,610,21.66854262,11370.67521,468.3965098,46.20198033,13217.811
8,710,20.63585634,12028.35546,543.2262324,48.51363944,14651.458
9,810,18.77607901,13173.88889,469.9225741,53.31709877,15208.624
10,910,17.08721648,14241.26973,525.8469176,58.61902967,15549.367
11,1010,15.18234752,16517.93916,637.1010703,65.91779703,15334.171
12,1110,14.96197027,16559.56006,701.5922486,66.99943604,16607.787
13,1210,13.80436033,17761.98452,568.7003868,72.53374876,16703.276
14,1310,13.78666336,17664.59723,693.5886382,72.68324656,18060.529
15,1410,12.8034539,19026.12512,593.2267879,78.21218369,18052.87
16,1510,11.17929934,21844.77684,891.4166801,89.93497881,16880.742
17,1610,11.09159317,22077.38394,645.0956783,90.23539441,17857.465
18,1710,10.55537836,22890.06681,594.5136199,94.87198129,18049.697
19,1810,9.780429282,25448.21444,1090.949596,102.5431663,17702.577
20,1910,9.852760733,24557.32465,576.7050503,101.6645309,18818.773
21,2010,8.918572139,27161.43382,773.0856716,112.4064363,17926.33
22,2110,8.89462891,27139.83985,592.3551185,112.6305995,18767.667
23,2210,8.52541991,28852.96382,984.6718774,117.3828606,18841.178
24,2310,8.498533333,29316.80102,1347.157884,117.768113,19631.612
25,2410,7.883150622,30858.28346,759.5054643,127.0675415,18998.393
26,2510,7.330496813,32953.68595,600.5822378,136.5815554,18399.547
27,2610,7.167090038,34302.16245,1156.438846,139.6904019,18706.105
28,2710,7.244922878,34076.32525,1433.130479,138.1373893,19633.741
29,2810,6.888982206,34800.929,510.1907505,145.3328637,19358.04
30,2910,6.360621649,37923.86672,811.498199,157.8095639,18509.409
31,3010,6.310354153,38095.67051,570.242002,158.7816442,18994.166
32,3110,5.942540193,40314.87337,639.2177823,168.6531305,18481.3
33,3210,5.903766355,40684.40913,832.8789368,169.6035754,18951.09
34,3310,5.648895166,42626.81753,752.3174804,177.3352749,18697.843
35,3410,5.581970381,43878.08839,1428.89206,179.324427,19034.519
36,3510,5.377561538,44629.74129,550.213702,186.2911655,18875.241
37,3610,5.384634072,45337.51812,1404.612716,185.8880219,19438.529
38,3710,5.072492453,47495.00647,840.5736299,197.5468504,18818.947
39,3810,5.060307612,48125.3477,1071.552736,197.8204291,19279.772
40,3835,5.036064407,47199.21644,448.7077476,199.0340764,19313.307
41,3837,5.193971853,46533.79762,727.3458069,192.8614376,19929.27
42,3838,5.025844242,47927.89436,753.0885244,199.3024777,19289.1902
43,3839,4.924700182,48489.6523,558.4864071,203.5100498,18905.924
44,3842,4.930229308,48952.91339,1028.044555,203.5051879,18941.941
45,3848,4.966360187,48797.60272,1083.750416,201.6424938,19110.554
46,3860,4.96796399,48380.55034,689.5012666,201.7161899,19176.341
47,3910,4.943340921,48663.32603,881.8488683,202.7076565,19328.463
